"","VanA","VanA.1","VanA.2","VanA.3","VanA.4","VanA.5","VanA.6","VanA.7","VanB","VanB.1","VanB.2","VanB.3","VanB.4","VanB.5","VanB.6","Aminoglycocide","Aminoglycocide.1","Aminoglycocide.2","Aminoglycocide.3","Aminoglycocide.4","Aminoglycocide.5","Aminoglycocide.6","Aminoglycocide.7","Chloramphenical","Chloramphenical.1","Dihydrofolate.reductase.inhibitor.Sulfonamide","Macrolide","Macrolide.1","Macrolide.2","Macrolide.3","Macrolide.4","Macrolide.5","Macrolide.6","Spectinomycin..","Tetracyclin","Tetracyclin.1","Tetracyclin.2"
"aus0098_AC026VACXX_GCCAAT_L008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","4","5","0","6","0","0","0","0","6","0","8","8","0"
"aus0012_AC026VACXX_GCCAAT_L005","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","3","3","0","3","0","0","3","3","0","4","5","0","6","0","0","0","0","6","0","8","8","0"
"CP003351","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","0","3","0","0","0","0","0","0","0","0","5","0","0","0","6","0","6","6","0","0","0","0"
"aus0021_AC026VACXX_CTTGTA_L005","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","3","3","0","0","0","0","0","3","0","0","5","0","6","0","0","0","0","6","0","0","8","0"
"aus0007_AC026VACXX_TTAGGC_L005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","3","0","0","3","3","4","4","5","0","6","0","0","0","0","6","0","0","8","0"
"aus0006_AC026VACXX_CGATGT_L005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","3","0","0","3","3","0","4","5","0","6","0","0","0","0","6","0","0","8","0"
"aus0100_AC026VACXX_CAGATC_L008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4","5","0","6","0","0","0","0","6","0","0","8","0"
"aus0094_AC026VACXX_ACAGTG_L008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","4","5","0","6","0","0","0","0","6","0","8","8","0"
"aus0015_AC026VACXX_ACTTGA_L005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","5","0","0","0","0","0","0","6","0","0","8","0"
"AUSMDU00003362_S14_L001","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","6","0","0","8","0"
"AUSMDU00003363_S4_L001","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","6","0","0","8","0"
"AUSMDU00003388_S12_L001","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","6","0","0","8","0"
"aus0019_AC026VACXX_GGCTAC_L005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","3","3","0","0","0","0","6","0","0","0","0","6","0","0","8","0"
"aus0002_AC026VACXX_ATCACG_L005","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","3","0","3","0","0","3","3","0","0","0","0","6","0","0","6","0","6","0","0","0","0"
"aus0065_AC026VACXX_ACAGTG_L007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","3","0","0","3","3","0","0","0","0","6","0","0","0","0","6","0","0","0","0"
"aus0064_AC026VACXX_TGACCA_L007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3","0","0","3","3","0","0","0","0","6","0","0","0","0","6","0","0","0","8"
"aus0057_AC026VACXX_CGATGT_L007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3","0","0","3","3","0","0","0","0","6","0","0","0","0","6","0","0","0","0"
"aus0030_AC026VACXX_TTAGGC_L006","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","0","3","0","3","0","0","3","3","0","0","0","0","6","0","0","0","0","6","0","0","0","0"
"aus0018_AC026VACXX_TAGCTT_L005","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","3","3","3","0","3","3","3","0","0","0","0","6","0","0","0","0","6","0","0","0","0"
