Sample,VanType,Community,ST
AUSMDU00003347_S6_L001,B,HA,17
AUSMDU00003348_S7_L001,B,HA,796
AUSMDU00003349_S8_L001,B,HA,203
AUSMDU00003350_S9_L001,B,HA,18
AUSMDU00003351_S10_L001,B,HA,796
AUSMDU00003352_S11_L001,B,comm,796
AUSMDU00003353_S12_L001,B,HA,796*?
AUSMDU00003354_S13_L001,A,HA,17
AUSMDU00003355_S5_L001,B,HA,796
AUSMDU00003356_S20_L001,B,comm,796
AUSMDU00003357_S19_L001,B,comm,17
AUSMDU00003358_S18_L001,B,HA,17
AUSMDU00003359_S17_L001,B,HA,796
AUSMDU00003360_S16_L001,B,HA,796
AUSMDU00003361_S15_L001,B,HA,796
AUSMDU00003362_S14_L001,A,HA,80
AUSMDU00003363_S4_L001,A,HA,80
AUSMDU00003364_S3_L001,B,HA,796
AUSMDU00003365_S2_L001,B,HA,17
AUSMDU00003366_S1_L001,B,HA,796
AUSMDU00003367_S1_L001,B,HA,796
AUSMDU00003368_S2_L001,B,comm,17
AUSMDU00003369_S4_L001,B,HA,17
AUSMDU00003370_S3_L001,B,HA,203
AUSMDU00003371_S6_L001,B,HA,17
AUSMDU00003372_S10_L001,B,comm,555
AUSMDU00003373_S14_L001,B,comm,192
AUSMDU00003374_S18_L001,B (SOOS),HA,17
AUSMDU00003375_S22_L001,B,HA,203
AUSMDU00003376_S26_L001,B (SOOS),HA,17
AUSMDU00003377_S30_L001,B,HA,796
AUSMDU00003378_S34_L001,B,HA,17
AUSMDU00003379_S7_L001,B,HA,17
AUSMDU00003380_S11_L001,B,HA,203
AUSMDU00003381_S15_L001,B (SOOS),HA,17
AUSMDU00003382_S19_L001,B,HA,18
AUSMDU00003383_S23_L001,B,HA,NF
AUSMDU00003384_S27_L001,B,comm,796
AUSMDU00003385_S31_L001,B,comm,203
AUSMDU00003386_S35_L001,B,HA,796
AUSMDU00003387_S8_L001,B,HA,203
AUSMDU00003388_S12_L001,A,HA,80
AUSMDU00003389_S16_L001,B,HA,17
aus0002_AC026VACXX_ATCACG_L005,nil,Austin,202
aus0006_AC026VACXX_CGATGT_L005,nil,Austin,17
aus0007_AC026VACXX_TTAGGC_L005,nil,Austin,17
aus0009_AC026VACXX_TGACCA_L005,Unknown,Austin,50
aus0010_AC026VACXX_ACAGTG_L005,nil,Austin,32
aus0012_AC026VACXX_GCCAAT_L005,B,Austin,17
aus0013_AC026VACXX_CAGATC_L005,nil,Austin,178
aus0015_AC026VACXX_ACTTGA_L005,nil,Austin,17
aus0016_AC026VACXX_GATCAG_L005,B,Austin,18
aus0018_AC026VACXX_TAGCTT_L005,nil,Austin,252
aus0019_AC026VACXX_GGCTAC_L005,nil,Austin,17
aus0021_AC026VACXX_CTTGTA_L005,B,Austin,17
aus0028_AC026VACXX_ATCACG_L006,nil,Austin,178
aus0029_AC026VACXX_CGATGT_L006,nil,Austin,203
aus0030_AC026VACXX_TTAGGC_L006,B,Austin,252
aus0031_AC026VACXX_TGACCA_L006,B,Austin,252
aus0038_AC026VACXX_ACAGTG_L006,nil,Austin,252
aus0039_AC026VACXX_GCCAAT_L006,nil,Austin,204
aus0040_AC026VACXX_CAGATC_L006,nil,Austin,203
aus0041_AC026VACXX_ACTTGA_L006,nil,Austin,203
aus0045_AC026VACXX_GATCAG_L006,B,Austin,203
aus0048_AC026VACXX_TAGCTT_L006,B,Austin,203
aus0050_AC026VACXX_GGCTAC_L006,B,Austin,252
aus0053_AC026VACXX_CTTGTA_L006,nil,Austin,203
aus0055_AC026VACXX_ATCACG_L007,B,Austin,203
aus0057_AC026VACXX_CGATGT_L007,nil,Austin,252
aus0063_AC026VACXX_TTAGGC_L007,nil,Austin,132
aus0064_AC026VACXX_TGACCA_L007,nil,Austin,252
aus0065_AC026VACXX_ACAGTG_L007,nil,Austin,341
aus0069_AC026VACXX_GCCAAT_L007,B,Austin,414
aus0070_AC026VACXX_CAGATC_L007,B,Austin,203
aus0071_AC026VACXX_ACTTGA_L007,B,Austin,252
aus0078_AC026VACXX_GATCAG_L007,nil,Austin,203
aus0080_AC026VACXX_TAGCTT_L007,nil,Austin,17
aus0081_AC026VACXX_GGCTAC_L007,B,Austin,483
aus0084_AC026VACXX_CTTGTA_L007,B,Austin,17
aus0087_AC026VACXX_ATCACG_L008,B,Austin,203
aus0090_AC026VACXX_CGATGT_L008,B,Austin,203
aus0091_AC026VACXX_TTAGGC_L008,B,Austin,203
aus0092_AC026VACXX_TGACCA_L008,nil,Austin,55
aus0094_AC026VACXX_ACAGTG_L008,nil,Austin,17
aus0098_AC026VACXX_GCCAAT_L008,nil,Austin,17
aus0100_AC026VACXX_CAGATC_L008,nil,Austin,17
aus0101_AC026VACXX_ACTTGA_L008,nil,Austin,22
aus0103_AC026VACXX_GATCAG_L008,Unknown,Austin,495
CP003351,Ref,Ref,17
CP006620,Ref,Ref,203
