,,VanA,VanA,VanA,VanA,VanA,VanA,VanA,VanA,VanB,VanB,VanB,VanB,VanB,VanB,VanB,Aminoglycocide,Aminoglycocide,Aminoglycocide,Aminoglycocide,Aminoglycocide,Aminoglycocide,Aminoglycocide,Aminoglycocide,Chloramphenical,Chloramphenical,Dihydrofolate reductase inhibitor/Sulfonamide,Macrolide,Macrolide,Macrolide,Macrolide,Macrolide,Spectinomycin??,Tetracyclin,Tetracyclin,Tetracyclin
Sample,Name,VanA_Gly,VanH-Pt_Gly,VanR-A_Gly,VanS-A_Gly,VanX-M_Gly,VanX_Gly,VanY-A_Gly,VanZ-A_Gly,VanB_Gly,VanH-B_Gly,VanR-B_Gly,VanS-B_Gly,VanW-B_Gly,VanX-B_Gly,VanY-B_Gly,Aac6-Aph2_AGly,Aac6-Ii_AGly,Aac6-Im_AGly,Ant6-Ia_AGly,Aph2''I_AGly,Aph2-Ib_AGly,Aph3-III_AGly,Sat4A_AGly,CatA9_Phe,CatA_Phe,Dfr_Tmt,ErmA_MLS,ErmB_MLS,ErmC_MLS,LnuB_MLS,MsrC_MLS,Spc_AGly,TetL_Tet,TetM_Tet,TetO_Tet
aus0002_AC026VACXX_ATCACG_L005,NA,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,3,0,0,3,3,0,0,0,0,6,0,6,6,0,0,0,0
aus0006_AC026VACXX_CGATGT_L005,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,3,0,4,5,0,6,0,0,6,0,0,8,0
aus0007_AC026VACXX_TTAGGC_L005,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,3,4,4,5,0,6,0,0,6,0,0,8,0
aus0009_AC026VACXX_TGACCA_L005,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3,0,3,0,0,3,3,4,0,0,6,6,0,0,6,7,8,8,0
aus0010_AC026VACXX_ACAGTG_L005,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,6,0,0,6,0,0,0,0
aus0012_AC026VACXX_GCCAAT_L005,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,3,0,0,3,3,0,4,5,0,6,0,0,6,0,8,8,0
aus0013_AC026VACXX_CAGATC_L005,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,6,0,0,0,0
aus0015_AC026VACXX_ACTTGA_L005,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,6,0,0,8,0
aus0016_AC026VACXX_GATCAG_L005,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,0,0,0,3,3,0,0,5,0,6,6,0,6,0,8,8,0
aus0018_AC026VACXX_TAGCTT_L005,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,3,0,3,3,3,0,0,0,0,6,0,0,6,0,0,0,0
aus0019_AC026VACXX_GGCTAC_L005,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,6,0,0,6,0,0,8,0
aus0021_AC026VACXX_CTTGTA_L005,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,0,0,0,0,3,0,0,5,0,6,0,0,6,0,0,8,0
aus0028_AC026VACXX_ATCACG_L006,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
aus0029_AC026VACXX_CGATGT_L006,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,0,0,0,0,0,6,0,6,6,0,0,8,0
aus0030_AC026VACXX_TTAGGC_L006,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,3,0,0,0,0,6,0,0,6,0,0,0,0
aus0031_AC026VACXX_TGACCA_L006,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,3,0,0,3,3,0,0,0,0,0,6,0,0,6,0,0,0,0
aus0038_AC026VACXX_ACAGTG_L006,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,0,0,0,6,0,0,6,0,0,0,0
aus0039_AC026VACXX_GCCAAT_L006,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,0,0,0,0,0,6,0,0,6,0,8,8,0
aus0040_AC026VACXX_CAGATC_L006,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,3,0,0,0,0,6,0,0,6,0,0,0,0
aus0041_AC026VACXX_ACTTGA_L006,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,3,0,0,5,6,6,0,6,6,7,0,0,0
aus0045_AC026VACXX_GATCAG_L006,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,3,0,3,0,0,3,0,0,0,0,0,6,0,6,6,0,0,0,0
aus0048_AC026VACXX_TAGCTT_L006,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,3,0,0,3,3,0,0,0,0,6,0,6,6,0,0,0,0
aus0050_AC026VACXX_GGCTAC_L006,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,0,0,0,3,0,0,0,5,0,6,0,0,6,0,0,8,0
aus0053_AC026VACXX_CTTGTA_L006,NA,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,3,3,0,3,0,0,3,0,0,0,5,0,6,0,6,6,0,0,0,0
aus0055_AC026VACXX_ATCACG_L007,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,3,0,0,3,3,0,0,0,0,6,0,0,6,0,0,8,0
aus0057_AC026VACXX_CGATGT_L007,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,0,0,0,6,0,0,6,0,0,0,0
aus0063_AC026VACXX_TTAGGC_L007,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,8,8,0
aus0064_AC026VACXX_TGACCA_L007,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,0,0,0,6,0,0,6,0,0,0,8
aus0065_AC026VACXX_ACAGTG_L007,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,3,0,0,0,0,6,0,0,6,0,0,0,0
aus0069_AC026VACXX_GCCAAT_L007,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,3,0,0,5,0,6,6,0,6,0,0,8,0
aus0070_AC026VACXX_CAGATC_L007,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,3,0,0,3,0,0,0,0,0,6,0,6,6,0,0,8,0
aus0071_AC026VACXX_ACTTGA_L007,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,0,0,0,3,0,0,0,5,0,6,0,0,6,0,0,8,0
