Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.402873	2.71259e-05	5983.46	14852
1/delta	0.00236323	9.33388e-10	5983.44	2.53189e+06
nu	0.0301295	1.19047e-08	76254.5	2.5309e+06
AUSMDU00003383_S23_L001	4.21817e-06	1.40389e-12	12.674	3.00463e+06
aus0070_AC026VACXX_CAGATC_L007	4.40163e-05	1.49371e-11	129.706	2.94678e+06
aus0081_AC026VACXX_GGCTAC_L007	4.27163e-06	1.42197e-12	12.8321	3.00402e+06
AUSMDU00003389_S16_L001	9.80695e-07	3.26392e-13	2.94665	3.00466e+06
aus0009_AC026VACXX_TGACCA_L005	0.000383954	1.33692e-10	1102.69	2.87193e+06
AUSMDU00003370_S3_L001	6.56184e-07	2.18389e-13	1.97161	3.00466e+06
AUSMDU00003386_S35_L001	1.62799e-06	5.41824e-13	4.89154	3.00465e+06
aus0064_AC026VACXX_TGACCA_L007	1.22146e-05	4.06716e-12	36.6832	3.00323e+06
aus0091_AC026VACXX_TTAGGC_L008	4.1283e-05	1.38746e-11	122.835	2.97544e+06
aus0069_AC026VACXX_GCCAAT_L007	9.24326e-05	3.19649e-11	267.286	2.89169e+06
AUSMDU00003375_S22_L001	2.60022e-06	8.65402e-13	7.81274	3.00464e+06
AUSMDU00003361_S15_L001	3.97463e-06	1.32288e-12	11.9419	3.00454e+06
aus0101_AC026VACXX_ACTTGA_L008	0.000108896	3.66693e-11	323.386	2.96968e+06
aus0039_AC026VACXX_GCCAAT_L006	0.00014075	4.76398e-11	415.841	2.95446e+06
aus0071_AC026VACXX_ACTTGA_L007	8.09208e-05	2.70433e-11	242.137	2.99227e+06
AUSMDU00003362_S14_L001	6.56817e-07	2.186e-13	1.97351	3.00466e+06
AUSMDU00003350_S9_L001	0.000154958	5.23097e-11	459.036	2.96232e+06
aus0030_AC026VACXX_TTAGGC_L006	2.92295e-06	9.72811e-13	8.7824	3.00464e+06
aus0063_AC026VACXX_TTAGGC_L007	0.00013946	4.75264e-11	409.225	2.93436e+06
AUSMDU00003347_S6_L001	6.56547e-07	2.1851e-13	1.9727	3.00466e+06
AUSMDU00003380_S11_L001	6.48574e-06	2.15859e-12	19.4871	3.00461e+06
aus0002_AC026VACXX_ATCACG_L005	7.46494e-05	2.52124e-11	221.024	2.96082e+06
aus0041_AC026VACXX_ACTTGA_L006	3.01343e-05	1.01255e-11	89.6824	2.97609e+06
AUSMDU00003372_S10_L001	8.27267e-05	2.80772e-11	243.746	2.9464e+06
AUSMDU00003387_S8_L001	1.37171e-05	4.56653e-12	41.2036	3.00382e+06
AUSMDU00003373_S14_L001	9.68926e-05	3.267e-11	287.364	2.9658e+06
aus0100_AC026VACXX_CAGATC_L008	7.1461e-06	2.37935e-12	21.4624	3.00338e+06
aus0053_AC026VACXX_CTTGTA_L006	5.35484e-06	1.78306e-12	16.0815	3.00317e+06
aus0016_AC026VACXX_GATCAG_L005	6.73547e-05	2.25315e-11	201.347	2.98936e+06
aus0055_AC026VACXX_ATCACG_L007	3.90142e-06	1.29852e-12	11.7218	3.00451e+06
AUSMDU00003358_S18_L001	1.30352e-06	4.33832e-13	3.91661	3.00465e+06
aus0029_AC026VACXX_CGATGT_L006	7.64312e-06	2.54401e-12	22.9626	3.00435e+06
aus0098_AC026VACXX_GCCAAT_L008	1.33337e-05	4.43884e-12	40.0529	3.00388e+06
aus0015_AC026VACXX_ACTTGA_L005	2.93353e-06	9.76431e-13	8.81331	3.00434e+06
AUSMDU00003355_S5_L001	1.10214e-05	3.6682e-12	33.1146	3.00458e+06
aus0021_AC026VACXX_CTTGTA_L005	1.84835e-05	6.18282e-12	55.2564	2.9895e+06
AUSMDU00003356_S20_L001	1.95173e-06	6.4957e-13	5.86426	3.00465e+06
aus0057_AC026VACXX_CGATGT_L007	4.86194e-06	1.61815e-12	14.6083	3.00462e+06
aus0084_AC026VACXX_CTTGTA_L007	4.21837e-06	1.40396e-12	12.6746	3.00463e+06
aus0050_AC026VACXX_GGCTAC_L006	1.0536e-05	3.50868e-12	31.6376	3.00282e+06
AUSMDU00003352_S11_L001	2.92292e-06	9.72803e-13	8.78232	3.00464e+06
AUSMDU00003368_S2_L001	6.56399e-07	2.18461e-13	1.97226	3.00466e+06
AUSMDU00003360_S16_L001	1.16983e-06	3.8936e-13	3.51473	3.00449e+06
AUSMDU00003367_S1_L001	6.16268e-06	2.05143e-12	18.5132	3.00408e+06
aus0090_AC026VACXX_CGATGT_L008	1.21896e-05	4.06943e-12	36.5129	2.99541e+06
aus0018_AC026VACXX_TAGCTT_L005	4.57256e-06	1.52194e-12	13.738	3.00444e+06
AUSMDU00003349_S8_L001	7.80382e-06	2.59804e-12	23.4406	3.00373e+06
aus0080_AC026VACXX_TAGCTT_L007	2.93072e-06	9.77603e-13	8.78591	2.99787e+06
AUSMDU00003388_S12_L001	4.86627e-06	1.61959e-12	14.6213	3.00462e+06
aus0087_AC026VACXX_ATCACG_L008	1.92082e-05	6.41671e-12	57.4994	2.99347e+06
aus0094_AC026VACXX_ACAGTG_L008	1.17287e-05	3.90808e-12	35.1993	3.00113e+06
aus0012_AC026VACXX_GCCAAT_L005	8.12854e-06	2.70677e-12	24.4104	3.00305e+06
AUSMDU00003365_S2_L001	6.56346e-07	2.18443e-13	1.97209	3.00466e+06
aus0078_AC026VACXX_GATCAG_L007	5.19362e-06	1.72858e-12	15.6045	3.00456e+06
AUSMDU00003382_S19_L001	3.39037e-05	1.13182e-11	101.558	2.99549e+06
AUSMDU00003354_S13_L001	6.56275e-07	2.18419e-13	1.97188	3.00466e+06
AUSMDU00003385_S31_L001	7.78424e-06	2.59089e-12	23.3874	3.00446e+06
aus0031_AC026VACXX_TGACCA_L006	1.39747e-05	4.65821e-12	41.9245	3.00002e+06
AUSMDU00003363_S4_L001	1.30392e-06	4.33966e-13	3.91782	3.00465e+06
AUSMDU00003369_S4_L001	0.000169257	5.74754e-11	498.436	2.94486e+06
AUSMDU00003376_S26_L001	6.56595e-07	2.18526e-13	1.97284	3.00466e+06
aus0048_AC026VACXX_TAGCTT_L006	2.27535e-06	7.57276e-13	6.8366	3.00464e+06
AUSMDU00003357_S19_L001	6.57277e-07	2.18758e-13	1.97485	3.00459e+06
AUSMDU00003384_S27_L001	1.30381e-06	4.33931e-13	3.9175	3.00465e+06
AUSMDU00003353_S12_L001	9.87047e-07	3.29228e-13	2.95923	2.99806e+06
aus0010_AC026VACXX_ACAGTG_L005	0.000120053	4.0516e-11	355.726	2.96309e+06
aus0065_AC026VACXX_ACAGTG_L007	4.9536e-05	1.6833e-11	145.774	2.9428e+06
AUSMDU00003351_S10_L001	2.92364e-06	9.73042e-13	8.78449	3.00464e+06
aus0092_AC026VACXX_TGACCA_L008	0.000329051	1.12213e-10	964.902	2.93238e+06
CP003351	1.24792e-05	4.15804e-12	37.453	3.00123e+06
aus0045_AC026VACXX_GATCAG_L006	3.49583e-06	1.16453e-12	10.4943	3.00193e+06
aus0006_AC026VACXX_CGATGT_L005	9.49003e-06	3.15928e-12	28.5067	3.00386e+06
AUSMDU00003366_S1_L001	1.95226e-06	6.49746e-13	5.86584	3.00465e+06
aus0040_AC026VACXX_CAGATC_L006	1.29075e-05	4.32303e-12	38.5384	2.98575e+06
AUSMDU00003348_S7_L001	9.81045e-07	3.26574e-13	2.94711	3.00405e+06
AUSMDU00003377_S30_L001	9.83305e-07	3.27379e-13	2.95342	3.00357e+06
aus0038_AC026VACXX_ACAGTG_L006	1.0471e-05	3.49274e-12	31.3912	2.99793e+06
AUSMDU00003371_S6_L001	9.79713e-07	3.26065e-13	2.9437	3.00465e+06
AUSMDU00003364_S3_L001	4.8723e-06	1.62164e-12	14.6391	3.00456e+06
aus0019_AC026VACXX_GGCTAC_L005	5.53844e-05	1.87297e-11	163.773	2.95703e+06
aus0007_AC026VACXX_TTAGGC_L005	9.87095e-06	3.28902e-12	29.6245	3.00118e+06
NODE_89	1.95213e-06	6.49704e-13	5.86547	3.00465e+06
NODE_90	0.000164888	5.69475e-11	477.424	2.89544e+06
NODE_91	3.25083e-06	1.08255e-12	9.76198	3.00292e+06
NODE_92	9.80302e-07	3.26261e-13	2.94547	3.00465e+06
NODE_93	2.28225e-06	7.59632e-13	6.85683	3.00442e+06
NODE_94	3.41394e-05	1.14282e-11	101.985	2.9873e+06
NODE_95	8.10169e-06	2.69937e-12	24.3158	3.00132e+06
NODE_96	1.50267e-05	5.0113e-12	45.0584	2.99856e+06
