R/theta	delta	nu
0.404968	420.207	0.030129
0.413939	424.675	0.0300124
0.400651	434.289	0.0299943
0.411973	428.684	0.0300665
0.402989	419.384	0.0302221
0.395723	434.064	0.0300802
0.39245	419.194	0.0299143
0.410832	421.044	0.0300795
0.396643	421.894	0.0302778
0.409992	423.383	0.0299159
0.395494	434.635	0.0301923
0.394528	440.513	0.0298657
0.421887	416.443	0.0300495
0.40688	428.205	0.0299159
0.413813	425.072	0.0301497
0.409435	427.269	0.0300733
0.404762	419.494	0.0302253
0.403869	423.239	0.0302801
0.412323	419.265	0.030216
0.413384	416.994	0.0301652
0.400875	418.81	0.0301963
0.414223	425.021	0.0300753
0.408461	434.308	0.0301812
0.396259	425.851	0.0299841
0.416881	417.525	0.0301871
0.401418	417.236	0.0303748
0.405239	417.024	0.0299719
0.402829	426.335	0.0301915
0.39699	427.397	0.0302236
0.40558	425.92	0.0300112
0.405895	419.09	0.030065
0.399244	414.938	0.0301648
0.410935	419.346	0.0302114
0.3956	425.823	0.0304957
0.398381	433.288	0.0298753
0.409244	426.523	0.0301627
0.415253	420.033	0.0302672
0.410884	421.903	0.0300797
0.404941	438.995	0.0302107
0.38924	405.422	0.0300623
0.409675	421.418	0.0302455
0.405998	428.279	0.0301374
0.3982	419.723	0.0301401
0.411631	418.369	0.0298785
0.400551	422.037	0.0299945
0.404707	403.534	0.0304389
0.406628	419.144	0.0300011
0.386224	429.208	0.0302235
0.397367	428.254	0.0299182
0.399413	434.776	0.0299735
0.397008	417.441	0.0303643
0.40954	418.646	0.0302123
0.404621	415.66	0.030023
0.409995	418.493	0.0301943
0.40806	421.201	0.0302655
0.404134	426.451	0.0301096
0.398908	434.274	0.0301273
0.406031	417.544	0.0299537
0.410334	430.319	0.0299527
0.410106	424.561	0.0300487
0.419279	422.909	0.0302172
0.409938	419.157	0.0300833
0.40196	422.579	0.0301012
0.396065	426.848	0.0301812
0.388633	429.719	0.030001
0.40657	423.637	0.0301994
0.407168	423.983	0.030138
0.395819	418.206	0.0301968
0.39273	426.293	0.0299591
0.396305	424.375	0.0298435
0.410377	435.142	0.0301758
0.411278	413.761	0.0302486
0.396785	426.534	0.0300497
0.400848	425.553	0.0301967
0.415744	427.354	0.0301455
0.414331	422.504	0.0299891
0.406786	421.066	0.0301089
0.410863	419.707	0.0300499
0.407212	432.263	0.0301816
0.401115	428.505	0.0299085
0.400314	410.389	0.0303502
0.402291	419.094	0.0299939
0.398006	416.408	0.0303055
0.396579	418.371	0.0302936
0.403774	422.451	0.0301582
0.401635	423.18	0.0303569
0.409691	426.527	0.03021
0.413028	427.024	0.030156
0.407837	431.844	0.030121
0.401604	410.324	0.0301408
0.406226	418.471	0.0300308
0.394416	420.797	0.0301015
0.407322	428.718	0.0300592
0.407492	425.351	0.0301137
0.400528	423.115	0.0302616
0.395609	429.431	0.0301574
0.406632	426.964	0.0300764
0.408256	424.8	0.0301939
0.405443	426.641	0.0298538
0.416259	425.899	0.0299953
