IsolateID,date
aus0002,29/05/1998
aus0004,21/10/1998
aus0006,19/07/1999
aus0007,8/09/1999
aus0010,25/03/2000
aus0012,5/09/2000
aus0013,10/01/2001
aus0015,9/12/2002
aus0016,22/05/2003
aus0018,27/06/2003
aus0019,13/02/2004
aus0021,26/08/2004
aus0028,14/10/2005
aus0029,11/11/2005
aus0030,29/11/2005
aus0031,3/12/2005
aus0038,5/05/2006
aus0039,19/09/2006
aus0040,17/10/2006
aus0041,14/11/2006
aus0045,11/03/2007
aus0048,9/04/2007
aus0050,22/04/2007
aus0051,4/05/2007
aus0053,19/06/2007
aus0055,14/07/2007
aus0056,30/09/2007
aus0057,1/10/2007
aus0063,23/02/2008
aus0064,15/03/2008
aus0065,5/06/2008
aus0068,16/06/2008
aus0069,17/06/2008
aus0070,29/06/2008
aus0071,24/07/2008
aus0072,29/07/2008
aus0073,18/08/2008
aus0075,8/09/2008
aus0077,20/10/2008
aus0078,8/11/2008
aus0080,26/12/2008
aus0081,10/02/2009
aus0084,21/02/2009
aus0085,22/02/2009
aus0086,24/02/2009
aus0087,26/02/2009
aus0088,8/03/2009
aus0090,23/03/2009
aus0091,26/03/2009
aus0092,25/06/1999
aus0093,10/05/2009
aus0094,13/05/2009
aus0095,8/05/2009
aus0096,5/05/2009
aus0098,14/11/2003
aus0100,2/12/2000
aus0101,2/11/2000
aus0149,15/11/2009
AUSMDU00003347,23/12/2013
AUSMDU00003348,31/12/2013
AUSMDU00003349,3/01/2014
AUSMDU00003350,3/01/2014
AUSMDU00003351,2/01/2014
AUSMDU00003352,8/01/2014
AUSMDU00003353,9/01/2014
AUSMDU00003354,10/01/2014
AUSMDU00003355,8/01/2014
AUSMDU00003356,10/01/2014
AUSMDU00003357,14/01/2014
AUSMDU00003358,20/01/2014
AUSMDU00003359,21/01/2014
AUSMDU00003360,21/01/2014
AUSMDU00003361,30/01/2014
AUSMDU00003362,5/02/2014
AUSMDU00003363,7/02/2014
AUSMDU00003364,5/02/2014
AUSMDU00003365,7/02/2014
AUSMDU00003366,3/02/2014
AUSMDU00003367,10/02/2014
AUSMDU00003368,12/02/2014
AUSMDU00003369,13/02/2014
AUSMDU00003370,11/02/2014
AUSMDU00003371,17/02/2014
AUSMDU00003372,18/02/2014
AUSMDU00003373,20/02/2014
AUSMDU00003374,24/02/2014
AUSMDU00003375,24/02/2014
AUSMDU00003376,4/03/2014
AUSMDU00003377,3/03/2014
AUSMDU00003378,7/03/2014
AUSMDU00003379,5/03/2014
AUSMDU00003380,6/03/2014
AUSMDU00003381,11/03/2014
AUSMDU00003382,17/03/2014
AUSMDU00003383,19/03/2014
AUSMDU00003384,28/03/2014
AUSMDU00003385,7/04/2014
AUSMDU00003386,5/01/2014
AUSMDU00003387,8/01/2014
AUSMDU00003388,30/1/2014
AUSMDU00003389,2/2/2014
