step	post	like	prior	mu1	mu2	gamma	pi	spa1	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11
1	-156.181327699839898	-158.113805621782063	1.932477921942174	0.000100000000000	0.000100000000000	1.000000000000000	0.959711059985104	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	2	3	1	1	5	9	11	4	1	1	1	1	1	1	1	1	1	1	1	1
500	-133.184073557368066	-134.751276805323187	1.567203247955115	0.000099977483445	0.000099977483445	1.000000000000000	0.921540001320872	0.000000000000000	16083	16089	16105	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	6	1	5	5	1	1	1	2	1	1	1	1	1	1	1	1
1000	-128.246858759743162	-130.339529538713691	2.092670778970518	0.000100076671358	0.000100076671358	1.000000000000000	0.976946085029545	0.000000000000000	16083	16087	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	6	5	1	9	1	1	1	1	1	1	1	1	1	1	1	1
1500	-130.559413290772568	-132.268076016201150	1.708662725428590	0.000099406037761	0.000099406037761	1.000000000000000	0.936138939228451	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-127.737359854970435	-129.981493574882904	2.244133719912473	0.000098271229821	0.000098271229821	1.000000000000000	0.993526447303337	0.000000000000000	16083	16089	16106	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	6	11	5	8	1	1	1	1	1	1	1	1	1	1	1	1
2500	-128.910090234398609	-130.474707937962819	1.564617703564199	0.000098561900426	0.000098561900426	1.000000000000000	0.921275296836157	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	6	5	6	9	1	1	1	1	1	1	1	1	1	1	1	1
3000	-129.462721181755001	-131.572654620424998	2.109933438669990	0.000097242673570	0.000097242673570	1.000000000000000	0.978821737475116	0.000000000000000	16083	16088	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	1	1	5	1	5	1	1	1	1	1	1	1	1	1	1	1	1
3500	-128.317714561296242	-130.589613061524261	2.271898500228026	0.000096710787348	0.000096710787348	1.000000000000000	0.996596184739854	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	1	6	6	1	8	1	1	1	1	1	1	1	1	1	1	1	1
4000	-132.376441322574550	-134.097286194004027	1.720844871429481	0.000099887495215	0.000099887495215	1.000000000000000	0.937406928440372	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16134	16133	16139	16102	0	1	1	1	1	1	6	6	6	1	1	1	1	1	1	1	1	1	1	1	2	1
4500	-129.617254485863157	-131.057203726703563	1.439949240840403	0.000100895665580	0.000100895665580	1.000000000000000	0.908601724197125	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1
5000	-128.322693594778542	-130.166668300513123	1.843974705734574	0.000095769608015	0.000095769608015	1.000000000000000	0.950319809275886	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	6	6	6	8	1	1	1	1	1	1	1	1	1	1	1	1
5500	-129.282530903533626	-131.285614510682336	2.003083607148696	0.000091477980466	0.000091477980466	1.000000000000000	0.967269676512093	0.000000000000000	16083	16089	16107	16112	16117	16123	16132	16135	16133	16139	16102	0	1	1	1	1	5	1	1	5	8	1	1	1	1	1	1	1	1	1	1	1	1
