Sample,ST,atpA,ddl,gdh,purK,gyd,pstS,adk,mismatches,uncertainty,depth,maxMAF,Aac6-Aph2_AGly,Aac6-Ii_AGly,Aac6-Im_AGly,Ant6-Ia_AGly,Aph2''I_AGly,Aph2-Ib_AGly,Aph3-III_AGly,CatA9_Phe,CatA_Phe,Dfr_Tmt,ErmA_MLS,ErmB_MLS,ErmC_MLS,LnuB_MLS,MsrC_MLS,Sat4A_AGly,Spc_AGly,TetL_Tet,TetM_Tet,TetO_Tet,VanA_Gly,VanB_Gly,VanH-B_Gly,VanH-Pt_Gly,VanR-A_Gly,VanR-B_Gly,VanS-A_Gly,VanS-B_Gly,VanW-B_Gly,VanX-B_Gly,VanX-M_Gly,VanX_Gly,VanY-A_Gly,VanY-B_Gly,VanZ-A_Gly
AUSMDU00003347_S6_L001,17,1,1,1,1,1,1,1,0,-,58.62985714,0.083333333,Aac6-Aph2_1686*,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,-,-,-,MsrC_304*,-,-,-,TetM_831*,-,VanA-A_1550*,-,-,VanH-A_571,VanR-A_54,-,VanS-A_635,-,-,-,VanX-A_1189*,VanX-Pt_343*,VanY-A_1634*,-,VanZ-A_1574
AUSMDU00003348_S7_L001,796,4,1,1,1,1,20,1,0,-,13.99742857,0.333333333,Aac6-Aph2_1686*?,Aac6-Ii_591*,-,-,-,-,-,-,-,-,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003349_S8_L001,203,15,1,1,1,1,20,1,0,-,26.30942857,0.142857143,-,Aac6-Ii_591*,-,Ant6-Ia_1633*?,-,-,Aph3-III_268,-,-,-,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502*,-
AUSMDU00003350_S9_L001,18,7,1,1,1,5,1,1,0,-,31.70742857,0.105263158,Aac6-Aph2_1686,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,-,ErmT_854*?,-,MsrC_304*,-,-,TetL_1674*?,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502*,-
AUSMDU00003351_S10_L001,796,4,1,1,1,1,20,1,0,-,37.42628571,0.108108108,Aac6-Aph2_1686,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003352_S11_L001,796,4,1,1,1,1,20,1,0,-,28.82742857,0.125,Aac6-Aph2_1686,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003353_S12_L001,796*?,4*?,1,1,1,1,20,1,atpA_4/10holes,atpA_4/edge0.0,22.15257143,0.166666667,Aac6-Aph2_1686,Aac6-Ii_591*,-,Ant6-Ia_1633,-,-,Aph3-III_268,-,-,DfrG_1081,-,ErmB_841*,-,LnuB_1508*,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003354_S13_L001,17,1,1,1,1,1,1,1,0,-,101.9921429,0.051724138,Aac6-Aph2_1686*?,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,-,-,-,MsrC_304*,-,-,-,-,-,VanA-A_1550*,-,-,VanH-A_571,VanR-A_54,-,VanS-A_635,-,-,-,VanX-A_1189*,VanX-Pt_343*,VanY-A_1634*,-,VanZ-A_1574
AUSMDU00003355_S5_L001,796,4,1,1,1,1,20,1,0,-,100.5661429,0.0625,-,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502*,-
AUSMDU00003356_S20_L001,796,4,1,1,1,1,20,1,0,-,90.71228571,0.075471698,Aac6-Aph2_1686,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
