Node	Beg	End
aus0070_AC026VACXX_CAGATC_L007	573700	574578
aus0070_AC026VACXX_CAGATC_L007	792745	792851
aus0070_AC026VACXX_CAGATC_L007	887281	887820
aus0070_AC026VACXX_CAGATC_L007	1960129	1962406
aus0070_AC026VACXX_CAGATC_L007	1967552	1974454
aus0070_AC026VACXX_CAGATC_L007	2012734	2028711
aus0070_AC026VACXX_CAGATC_L007	2029979	2035192
aus0070_AC026VACXX_CAGATC_L007	2036481	2036550
aus0070_AC026VACXX_CAGATC_L007	2038020	2042463
aus0070_AC026VACXX_CAGATC_L007	2476726	2476820
aus0070_AC026VACXX_CAGATC_L007	2481207	2481353
aus0070_AC026VACXX_CAGATC_L007	2487015	2487980
aus0070_AC026VACXX_CAGATC_L007	2489538	2489632
aus0070_AC026VACXX_CAGATC_L007	2828562	2829514
aus0070_AC026VACXX_CAGATC_L007	2831187	2832423
aus0070_AC026VACXX_CAGATC_L007	2838553	2838682
aus0070_AC026VACXX_CAGATC_L007	2841627	2841936
aus0070_AC026VACXX_CAGATC_L007	2844850	2844918
aus0070_AC026VACXX_CAGATC_L007	2852631	2852862
aus0070_AC026VACXX_CAGATC_L007	2853400	2854870
aus0070_AC026VACXX_CAGATC_L007	2855475	2855992
aus0070_AC026VACXX_CAGATC_L007	2856741	2862810
aus0070_AC026VACXX_CAGATC_L007	2863887	2863947
aus0070_AC026VACXX_CAGATC_L007	2864718	2866590
aus0070_AC026VACXX_CAGATC_L007	2869017	2869063
aus0070_AC026VACXX_CAGATC_L007	2869980	2871970
aus0070_AC026VACXX_CAGATC_L007	2874394	2876020
aus0070_AC026VACXX_CAGATC_L007	2877629	2878624
aus0070_AC026VACXX_CAGATC_L007	2879686	2881907
aus0070_AC026VACXX_CAGATC_L007	2882570	2883228
aus0070_AC026VACXX_CAGATC_L007	2886735	2886985
aus0070_AC026VACXX_CAGATC_L007	2891883	2894302
aus0070_AC026VACXX_CAGATC_L007	2895353	2895624
aus0070_AC026VACXX_CAGATC_L007	2919274	2921148
aus0081_AC026VACXX_GGCTAC_L007	2477439	2477612
aus0081_AC026VACXX_GGCTAC_L007	2478454	2478800
aus0009_AC026VACXX_TGACCA_L005	542264	542379
aus0009_AC026VACXX_TGACCA_L005	545612	546207
aus0009_AC026VACXX_TGACCA_L005	569459	570857
aus0009_AC026VACXX_TGACCA_L005	575174	575770
aus0009_AC026VACXX_TGACCA_L005	581640	581847
aus0009_AC026VACXX_TGACCA_L005	583326	583649
aus0009_AC026VACXX_TGACCA_L005	585223	585876
aus0009_AC026VACXX_TGACCA_L005	588566	589047
aus0009_AC026VACXX_TGACCA_L005	590713	591281
aus0009_AC026VACXX_TGACCA_L005	592981	593287
aus0009_AC026VACXX_TGACCA_L005	595442	595676
aus0009_AC026VACXX_TGACCA_L005	604541	604712
aus0009_AC026VACXX_TGACCA_L005	609104	609393
aus0009_AC026VACXX_TGACCA_L005	611460	612567
aus0009_AC026VACXX_TGACCA_L005	616417	617212
aus0009_AC026VACXX_TGACCA_L005	623620	625354
aus0009_AC026VACXX_TGACCA_L005	625937	626370
aus0009_AC026VACXX_TGACCA_L005	629402	629475
aus0009_AC026VACXX_TGACCA_L005	640081	640862
aus0009_AC026VACXX_TGACCA_L005	646387	647085
aus0009_AC026VACXX_TGACCA_L005	648749	648890
aus0009_AC026VACXX_TGACCA_L005	650870	650892
aus0009_AC026VACXX_TGACCA_L005	654942	655551
aus0009_AC026VACXX_TGACCA_L005	658054	660175
aus0009_AC026VACXX_TGACCA_L005	787009	787038
aus0009_AC026VACXX_TGACCA_L005	790564	792198
aus0009_AC026VACXX_TGACCA_L005	797530	800351
aus0009_AC026VACXX_TGACCA_L005	801188	802982
aus0009_AC026VACXX_TGACCA_L005	803789	805832
aus0009_AC026VACXX_TGACCA_L005	807413	809386
aus0009_AC026VACXX_TGACCA_L005	814749	815716
aus0009_AC026VACXX_TGACCA_L005	816555	817352
aus0009_AC026VACXX_TGACCA_L005	818252	818276
aus0009_AC026VACXX_TGACCA_L005	820591	820881
aus0009_AC026VACXX_TGACCA_L005	910997	911081
aus0009_AC026VACXX_TGACCA_L005	931120	932007
aus0009_AC026VACXX_TGACCA_L005	936038	936540
aus0009_AC026VACXX_TGACCA_L005	1000662	1000889
aus0009_AC026VACXX_TGACCA_L005	1022145	1022390
aus0009_AC026VACXX_TGACCA_L005	1047159	1047478
aus0009_AC026VACXX_TGACCA_L005	1084044	1084783
aus0009_AC026VACXX_TGACCA_L005	1097207	1097372
aus0009_AC026VACXX_TGACCA_L005	1113150	1113273
aus0009_AC026VACXX_TGACCA_L005	1121427	1121613
aus0009_AC026VACXX_TGACCA_L005	1122388	1122847
aus0009_AC026VACXX_TGACCA_L005	1148646	1148949
aus0009_AC026VACXX_TGACCA_L005	1174414	1174639
aus0009_AC026VACXX_TGACCA_L005	1180207	1180555
aus0009_AC026VACXX_TGACCA_L005	1203412	1203857
aus0009_AC026VACXX_TGACCA_L005	1213617	1213713
aus0009_AC026VACXX_TGACCA_L005	1214395	1214673
aus0009_AC026VACXX_TGACCA_L005	1244344	1245034
aus0009_AC026VACXX_TGACCA_L005	1245717	1247082
aus0009_AC026VACXX_TGACCA_L005	1248429	1248887
aus0009_AC026VACXX_TGACCA_L005	1250741	1251480
aus0009_AC026VACXX_TGACCA_L005	1267199	1269237
aus0009_AC026VACXX_TGACCA_L005	1390852	1390975
aus0009_AC026VACXX_TGACCA_L005	1400045	1400463
aus0009_AC026VACXX_TGACCA_L005	1404297	1404513
aus0009_AC026VACXX_TGACCA_L005	1405499	1405544
aus0009_AC026VACXX_TGACCA_L005	1413688	1414386
aus0009_AC026VACXX_TGACCA_L005	1417347	1417585
aus0009_AC026VACXX_TGACCA_L005	1431858	1432492
aus0009_AC026VACXX_TGACCA_L005	1435603	1435864
aus0009_AC026VACXX_TGACCA_L005	1694594	1694924
aus0009_AC026VACXX_TGACCA_L005	1710926	1711160
aus0009_AC026VACXX_TGACCA_L005	1722395	1723273
aus0009_AC026VACXX_TGACCA_L005	1725855	1727453
aus0009_AC026VACXX_TGACCA_L005	1731231	1731546
aus0009_AC026VACXX_TGACCA_L005	1777975	1780188
aus0009_AC026VACXX_TGACCA_L005	1788452	1788865
aus0009_AC026VACXX_TGACCA_L005	1793552	1793765
aus0009_AC026VACXX_TGACCA_L005	1795171	1795219
aus0009_AC026VACXX_TGACCA_L005	1795858	1797238
aus0009_AC026VACXX_TGACCA_L005	1798941	1799388
aus0009_AC026VACXX_TGACCA_L005	1946546	1946910
aus0009_AC026VACXX_TGACCA_L005	1958733	1970380
aus0009_AC026VACXX_TGACCA_L005	1973899	1974400
aus0009_AC026VACXX_TGACCA_L005	1975900	1975924
aus0009_AC026VACXX_TGACCA_L005	2013157	2016041
aus0009_AC026VACXX_TGACCA_L005	2018142	2033668
aus0009_AC026VACXX_TGACCA_L005	2035335	2037549
aus0009_AC026VACXX_TGACCA_L005	2038107	2039381
aus0009_AC026VACXX_TGACCA_L005	2040084	2053324
aus0009_AC026VACXX_TGACCA_L005	2056599	2064208
aus0009_AC026VACXX_TGACCA_L005	2065279	2065923
aus0009_AC026VACXX_TGACCA_L005	2096668	2098521
aus0009_AC026VACXX_TGACCA_L005	2184360	2184502
aus0009_AC026VACXX_TGACCA_L005	2185793	2186282
aus0009_AC026VACXX_TGACCA_L005	2236748	2237349
aus0009_AC026VACXX_TGACCA_L005	2239504	2239635
aus0009_AC026VACXX_TGACCA_L005	2448048	2448109
aus0009_AC026VACXX_TGACCA_L005	2456000	2456123
aus0009_AC026VACXX_TGACCA_L005	2477600	2478800
aus0009_AC026VACXX_TGACCA_L005	2481765	2486096
aus0009_AC026VACXX_TGACCA_L005	2487798	2487914
aus0009_AC026VACXX_TGACCA_L005	2489244	2489593
aus0009_AC026VACXX_TGACCA_L005	2852811	2852856
aus0064_AC026VACXX_TGACCA_L007	572746	573106
aus0064_AC026VACXX_TGACCA_L007	574260	574635
aus0064_AC026VACXX_TGACCA_L007	812449	812458
aus0064_AC026VACXX_TGACCA_L007	821214	821257
aus0064_AC026VACXX_TGACCA_L007	2165714	2165755
aus0091_AC026VACXX_TTAGGC_L008	422490	422685
aus0091_AC026VACXX_TTAGGC_L008	797530	798563
aus0091_AC026VACXX_TTAGGC_L008	805831	808980
aus0091_AC026VACXX_TTAGGC_L008	814024	817802
aus0091_AC026VACXX_TTAGGC_L008	818649	818914
aus0091_AC026VACXX_TTAGGC_L008	886883	887511
