readID,Tn1549,Tn1549 S/L,Tn1549 start,Tn1549 end
AUSMDU00003347_S6_L001,0,-,-,-
AUSMDU00003348_S7_L001,1,L,?,EFAU085_00743
AUSMDU00003349_S8_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003350_S9_L001,1,L,EFAU085_00681,EFAU085_00743
AUSMDU00003351_S10_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003352_S11_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003353_S12_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003354_S13_L001,0,-,-,-
AUSMDU00003355_S5_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003356_S20_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003357_S19_L001,1,L,?,EFAU085_00743
AUSMDU00003358_S18_L001,1,L,?,EFAU085_00743
AUSMDU00003359_S17_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003360_S16_L001,1,L,EFAU085_00681,EFAU085_00743
AUSMDU00003361_S15_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003362_S14_L001,0,-,-,-
AUSMDU00003363_S4_L001,0,-,-,-
AUSMDU00003364_S3_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003365_S2_L001,1,L,EFAU085_00681,EFAU085_00743
AUSMDU00003366_S1_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003367_S1_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003368_S2_L001,1,L,EFAU085_00681,EFAU085_00743
AUSMDU00003369_S4_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003370_S3_L001,1,L,EFAU085_00681,EFAU085_00743
AUSMDU00003371_S6_L001,1,L,EFAU085_00681,EFAU085_00743
AUSMDU00003372_S10_L001,1,L,EFAU085_00681,EFAU085_00743
AUSMDU00003373_S14_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003374_S18_L001,1,L,EFAU085_00681,EFAU085_00743
AUSMDU00003375_S22_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003376_S26_L001,1,L,EFAU085_00681,EFAU085_00743
AUSMDU00003377_S30_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003378_S34_L001,1,L,EFAU085_00681,EFAU085_00743
AUSMDU00003379_S7_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003380_S11_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003381_S15_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003382_S19_L001,1,L,EFAU085_00681,EFAU085_00743
AUSMDU00003383_S23_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003384_S27_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003385_S31_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003386_S35_L001,1,L,signal peptidase,EFAU085_00743
AUSMDU00003387_S8_L001,1,S,EFAU085_01545,EFAU085_01544
AUSMDU00003388_S12_L001,0,-,-,-
AUSMDU00003389_S16_L001,1,L,signal peptidase,EFAU085_00743
,,,,
,,,,
